API or Message Name,Windows NT,Win95,Win32s,Subsystem,Import Library,Platform Notes,History,Unicode,Status as of 10/28
WNetCancelConnection,Yes,Yes,No,Networking,mpr.lib,,New,Yes,available
WNetCancelConnection2,Yes,Yes,No,Networking,mpr.lib,,New,Yes,available
WNetCloseEnum,Yes,Yes,No,Networking,mpr.lib,,New,No,available
WNetConnectionDialog,Yes,Yes,No,Networking,mpr.lib,,New,No,available
WNetDisconnectDialog,Yes,Yes,No,Networking,mpr.lib,,New,No,available
WNetEnumResource,Yes,Yes,No,Networking,mpr.lib,,New,Yes,available
WNetGetConnection,Yes,Yes,No,Networking,mpr.lib,,New,Yes,available
WNetGetLastError,Yes,Yes,No,Networking,mpr.lib,,New,Yes,available
WNetGetUser,Yes,Yes,No,Networking,mpr.lib,,New,Yes,available
WNetOpenEnum,Yes,Yes,No,Networking,mpr.lib,,New,Yes,available
acmChooseWaveFilter,New,Yes,No,mm,msacm32.lib,,New,No,available
acmChooseWaveFormat,New,Yes,No,mm,msacm32.lib,,New,No,available
acmCloseConversion,New,Yes,No,mm,msacm32.lib,,New,No,available
acmConvert,New,Yes,No,mm,msacm32.lib,,New,No,available
acmConverterAdd,New,Yes,No,mm,msacm32.lib,,New,No,available
acmConverterClose,New,Yes,No,mm,msacm32.lib,,New,No,available
acmConverterEnum,New,Yes,No,mm,msacm32.lib,,New,No,available
acmConverterGetInfo,New,Yes,No,mm,msacm32.lib,,New,No,available
acmConverterOpen,New,Yes,No,mm,msacm32.lib,,New,No,available
acmConverterRemove,New,Yes,No,mm,msacm32.lib,,New,No,available
acmConverterSendMessage,New,Yes,No,mm,msacm32.lib,,New,No,available
acmEnumWaveFilters,New,Yes,No,mm,msacm32.lib,,New,No,available
acmEnumWaveFormats,New,Yes,No,mm,msacm32.lib,,New,No,available
acmEnumWaveFormatTags,New,Yes,No,mm,msacm32.lib,,New,No,available
acmGetFormatString,New,Yes,No,mm,msacm32.lib,,New,No,available
acmGetVersion,New,Yes,No,mm,msacm32.lib,,New,No,available
acmGetWaveFormatSize,New,Yes,No,mm,msacm32.lib,,New,No,available
acmOpenConversion,New,Yes,No,mm,msacm32.lib,,New,No,available
acmQueryConversionSize,New,Yes,No,mm,msacm32.lib,,New,No,available
acmSuggestFormat,New,Yes,No,mm,msacm32.lib,,New,No,available
NDdeGetErrorString,Yes,No,No,Network DDE,nddeapi.lib,,New,Yes,
NDdeGetShareSecurity,Yes,No,No,Network DDE,nddeapi.lib,,New,Yes,
NDdeGetTrustedShare,Yes,No,No,Network DDE,nddeapi.lib,,New,Yes,
NDdeIsValidAppTopicList,Yes,No,No,Network DDE,nddeapi.lib,,New,Yes,
NDdeIsValidShareName,Yes,No,No,Network DDE,nddeapi.lib,,New,Yes,
NDdeSetShareSecurity,Yes,No,No,Network DDE,nddeapi.lib,,New,Yes,
NDdeSetTrustedShare,Yes,No,No,Network DDE,nddeapi.lib,,New,Yes,
NDdeShareAdd,Yes,No,No,Network DDE,nddeapi.lib,,New,Yes,
NDdeShareDel,Yes,No,No,Network DDE,nddeapi.lib,,New,Yes,
NDdeShareEnum,Yes,No,No,Network DDE,nddeapi.lib,,New,Yes,
NDdeShareGetInfo,Yes,No,No,Network DDE,nddeapi.lib,,New,Yes,
NDdeShareSetInfo,Yes,No,No,Network DDE,nddeapi.lib,,New,Yes,
NDdeTrustedShareEnum,Yes,No,Yes,Network DDE,nddeapi.lib,,New,Yes,
NetBios,Yes,Yes,No,Networking,netapi32.lib,,New,No,available
OleActivate,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available
OleClone,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available
OleClose,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available
OleCopyFromLink,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available
OleCopyToClipboard,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available
OleCreate,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available
OleCreateFromClip,Yes,Yes,Yes,OLE 1.0 client,olecli32.lib,,Obsolete,No,available
