ref_persistent:string,ref_dynamic:string,ref_link:string,invoke_kind:INT,pers_icon:string,dyn_icon:string,datatype:INT,ref_desc:string
|null|,|object|,|/workshop/author/dhtml/reference/properties/object.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,9,|Retrieves the contained object.|
|null|,|offsetHeight|,|/workshop/author/dhtml/reference/properties/offsetHeight.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,22,|Retrieves the height of the &lt;OBJECT&gt; relative to the layout or coordinate parent, as specified by the <a href="/workshop/author/dhtml/reference/properties/offsetParent.htm">offsetParent</a> property.|
|null|,|offsetLeft|,|/workshop/author/dhtml/reference/properties/offsetLeft.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,22,|Retrieves the calculated left position of the &lt;OBJECT&gt; relative to the layout or coordinate parent, as specified by the <a href="/workshop/author/dhtml/reference/properties/offsetParent.htm">offsetParent</a> property.|
|null|,|offsetParent|,|/workshop/author/dhtml/reference/properties/offsetParent.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,9,|Retrieves a reference to the container object that defines the <A HREF="/workshop/author/dhtml/reference/properties/offsetTop.htm">offsetTop</A> and <A HREF="/workshop/author/dhtml/reference/properties/offsetLeft.htm">offsetLeft</A> properties of the object.|
|null|,|offsetTop|,|/workshop/author/dhtml/reference/properties/offsetTop.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,22,|Retrieves the calculated top position of the &lt;OBJECT&gt; relative to the layout or coordinate parent, as specified by the <a href="/workshop/author/dhtml/reference/properties/offsetParent.htm">offsetParent</a> property.|
|null|,|offsetWidth|,|/workshop/author/dhtml/reference/properties/offsetWidth.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,22,|Retrieves the width of the &lt;OBJECT&gt; relative to the layout or coordinate parent, as specified by the <a href="/workshop/author/dhtml/reference/properties/offsetParent.htm">offsetParent</a> property.|
|null|,|outerHTML|,|/workshop/author/dhtml/reference/properties/outerHTML.htm|,6,|null|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves the &lt;OBJECT&gt; and its content in HTML.|
|null|,|outerText|,|/workshop/author/dhtml/reference/properties/outerText.htm|,6,|null|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves the text of the &lt;OBJECT&gt;.|
|null|,|parentElement|,|/workshop/author/dhtml/reference/properties/parentElement.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,9,|Retrieves the parent object in the object hierarchy.|
|null|,|parentNode|,|/workshop/author/dhtml/reference/properties/parentNode.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,9,|Retrieves the parent object in the document hierarchy.|
|null|,|parentTextEdit|,|/workshop/author/dhtml/reference/properties/parentTextEdit.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,9,|Retrieves the container object in the document hierarchy that can be used to create a <A HREF="/workshop/author/dhtml/reference/objects/obj_TextRange.htm">textRange</A> containing the original &lt;OBJECT&gt;.|
|null|,|previousSibling|,|/workshop/author/dhtml/reference/properties/previousSibling.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,9,|Retrieves a reference to the previous child of the parent for the specified object.|
|null|,|readyState|,|/workshop/author/dhtml/reference/properties/readyState.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,8,|Retrieves the current state of the &lt;OBJECT&gt; being downloaded.|
|null|,|recordNumber|,|/workshop/author/dhtml/reference/properties/recordNumber.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,22,|Retrieves the ordinal record from the data set that generated the &lt;OBJECT&gt;.|
|null|,|recordset|,|/workshop/author/dhtml/reference/properties/recordset.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,9,|Retrieves from a data source object a reference to the default record set.|
|null|,|runtimeStyle|,|/workshop/author/dhtml/reference/objects/runtimeStyle.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,1,|Represents the cascaded format and style of the &lt;OBJECT&gt; that overrides the format and style specified in global style sheets, inline styles, and HTML attributes.|
|null|,|scopeName|,|/workshop/author/dhtml/reference/properties/scopeName.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,8,|Retrieves the <A HREF="/xml/xmlguide/namespaces-overview.htm">namespace</A> defined for the element.|
|null|,|scrollHeight|,|/workshop/author/dhtml/reference/properties/scrollHeight.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,22,|Retrieves the  scrolling height of the &lt;OBJECT&gt;.|
|null|,|scrollLeft|,|/workshop/author/dhtml/reference/properties/scrollLeft.htm|,6,|null|,|/workshop/graphics/prop_rw.gif|,22,|Sets or retrieves the distance between the left edge of the &lt;OBJECT&gt; and the leftmost portion of the content currently visible in the window.|
|null|,|scrollTop|,|/workshop/author/dhtml/reference/properties/scrollTop.htm|,6,|null|,|/workshop/graphics/prop_rw.gif|,22,|Sets or retrieves the distance between the top of the &lt;OBJECT&gt; and the topmost portion of the content currently visible in the window.|
|null|,|scrollWidth|,|/workshop/author/dhtml/reference/properties/scrollWidth.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,22,|Retrieves the scrolling width of the &lt;OBJECT&gt;.|
|null|,|sourceIndex|,|/workshop/author/dhtml/reference/properties/sourceIndex.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,22,|Retrieves the ordinal position of the &lt;OBJECT&gt;, in source order, as the &lt;OBJECT&gt; appears in the <A HREF="/workshop/author/dhtml/reference/collections/all.htm#all">all</A> collection.|
|null|,|style|,|/workshop/author/dhtml/reference/objects/obj_style.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,1,|Represents the current settings of all possible inline styles for a given element.|
|TABINDEX|,|tabIndex|,|/workshop/author/dhtml/reference/properties/tabIndex.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,22,|Sets or retrieves the index within the tab selection order of the &lt;OBJECT&gt;.|
|null|,|tagName|,|/workshop/author/dhtml/reference/properties/tagName.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,8,|Retrieves the tag name of the &lt;OBJECT&gt;.|
|null|,|tagUrn|,|/workshop/author/dhtml/reference/properties/tagUrn.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,8,|Retrieves the Uniform Resource Name (URN) specified in the namespace declaration.|
|TITLE|,|title|,|/workshop/author/dhtml/reference/properties/title_1.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves advisory information (a ToolTip) for the &lt;OBJECT&gt;.|
|TYPE|,|type|,|/workshop/author/dhtml/reference/properties/type_5.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves the MIME type of the object.|
|null|,|uniqueID|,|/workshop/author/dhtml/reference/properties/uniqueID.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,8,|Retrieves an auto-generated, unique identifier for the &lt;OBJECT&gt;.|
|VSPACE|,|vspace|,|/workshop/author/dhtml/reference/properties/vspace.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,22,|Sets or retrieves the vertical margin for the &lt;OBJECT&gt;.|
|WIDTH|,|width|,|/workshop/author/dhtml/reference/properties/width_1.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves the calculated width of the &lt;OBJECT&gt;.|
|null|,|onbeforeeditfocus|,|/workshop/author/dhtml/reference/events/onbeforeeditfocus.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires before a control enters a UI activated state.|
|null|,|onblur|,|/workshop/author/dhtml/reference/events/onblur.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when the &lt;OBJECT&gt; loses the input focus.|
|null|,|oncellchange|,|/workshop/author/dhtml/reference/events/oncellchange.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when data changes in the data provider.|
|null|,|onclick|,|/workshop/author/dhtml/reference/events/onclick.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when the user clicks the left mouse button on the &lt;OBJECT&gt;.|
