DdeQueryConvInfo,widened,,Y,user32.lib
DdeQueryNextServer,widened,,Y,user32.lib
DdeQueryString,widened,Ansi and Unicode,Y,user32.lib
DdeReconnect,widened,,Y,user32.lib
DdeRevertToSelf,new,,N,macro
DdeSetUserHandle,widened,,Y,user32.lib
DdeUnaccessData,widened,,Y,user32.lib
DdeUninitialize,widened,,Y,user32.lib
DebugActiveProcess,new,,N,kernel32.lib
DebugBreak,widened,,Y,kernel32.lib
DebugProc,widened,,Y,macro
DebugSnapShotProcessHeaps,new,,N,macro
DefDlgProc,widened,Ansi and Unicode,Y,user32.lib
DefDriverProc,widened,,Y,winmm.lib
DeferWindowPos,widened,,Y,user32.lib
DefFrameProc,widened,Ansi and Unicode,Y,user32.lib
DefHookProc,widened,,Y,macro
DefineHandleTable,widened,,Y,macro
DefMDIChildProc,widened,Ansi and Unicode,Y,user32.lib
DefWindowProc,widened,Ansi and Unicode,Y,user32.lib
DeleteAce,new,,N,advapi32.lib
DeleteAtom,widened,,Y,kernel32.lib
DeleteCriticalSection,new,,Y,kernel32.lib
DeleteDC,widened,,Y,gdi32.lib
DeleteEnhMetaFile,new,,N,gdi32.lib
DeleteFile,new,Ansi and Unicode,Y,kernel32.lib
DeleteForm,new,Ansi and Unicode,N,winspool.lib
DeleteMenu,widened,,Y,user32.lib
DeleteMetaFile,widened,,Y,gdi32.lib
DeleteMonitor,new,Ansi and Unicode,N,winspool.lib
DeleteObject,widened,,Y,gdi32.lib
DeletePort,new,Ansi and Unicode,N,winspool.lib
DeletePrinter,new,,N,winspool.lib
DeletePrinterConnection,new,Ansi and Unicode,N,winspool.lib
DeletePrinterDriver,new,Ansi and Unicode,N,winspool.lib
DeletePrintProcessor,new,Ansi and Unicode,N,winspool.lib
DeletePrintProvidor,new,Ansi and Unicode,N,winspool.lib
DeleteService,new,,N,advapi32.lib
DeregisterEventSource,new,,N,advapi32.lib
DestroyAcceleratorTable,new,,N,user32.lib
DestroyCaret,widened,,Y,user32.lib
DestroyCursor,widened,,Y,user32.lib
DestroyIcon,widened,,Y,user32.lib
DestroyMenu,widened,,Y,user32.lib
DestroyPrivateObjectSecurity,new,,N,advapi32.lib
DestroyUserObjectSecurity,new,,N,macro
DestroyWindow,widened,,Y,user32.lib
DeviceCapabilities,widened,Ansi and Unicode,Y,gdi32.lib
DeviceIoControl,new,,N,kernel32.lib
DeviceMode,widened,,N,winspool.lib
DeviceModeEx,widened,,Y,macro
DialogBox,widened,,Y,macro
DialogBoxIndirect,widened,,Y,macro
DialogBoxIndirectParam,widened,Ansi and Unicode,Y,user32.lib
DialogBoxParam,widened,Ansi and Unicode,Y,user32.lib
DirectedYield,widened,,N,user32.lib
DisconnectNamedPipe,new,,N,kernel32.lib
DispatchMessage,widened,Ansi and Unicode,Y,user32.lib
DlgDirList,widened,Ansi and Unicode,Y,user32.lib
