ref_persistent:string,ref_dynamic:string,ref_link:string,invoke_kind:INT,pers_icon:string,dyn_icon:string,datatype:INT,ref_desc:string
|null|,|clientLeft|,|/workshop/author/dhtml/reference/properties/clientLeft.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,22,|Retrieves the distance between the <A HREF="/workshop/author/dhtml/reference/properties/offsetLeft.htm#offsetLeft">offsetLeft</A> property and the true left side of the client area.|
|null|,|clientTop|,|/workshop/author/dhtml/reference/properties/clientTop.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,22,|Retrieves the distance between the <A HREF="/workshop/author/dhtml/reference/properties/offsetTop.htm#offsetTop">offsetTop</A> property and the true top of the client area.|
|null|,|clientWidth|,|/workshop/author/dhtml/reference/properties/clientWidth.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,22,|Retrieves the width of the &lt;EMBED&gt; without taking into account any margin, border, scroll bar, or padding that might have been applied to the &lt;EMBED&gt;.|
|null|,|currentStyle|,|/workshop/author/dhtml/reference/objects/currentStyle.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,1,|Represents the cascaded format and style of the &lt;EMBED&gt; as specified by global style sheets, inline styles, and HTML attributes.|
|DIR|,|dir|,|/workshop/author/dhtml/reference/properties/dir.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves the reading order of the &lt;EMBED&gt;.|
|null|,|firstChild|,|/workshop/author/dhtml/reference/properties/firstChild.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,9,|Retrieves a reference to the first child in the <a href="/workshop/author/dhtml/reference/collections/childNodes.htm">childNodes</a> collection of the &lt;EMBED&gt;.|
|HEIGHT|,|height|,|/workshop/author/dhtml/reference/properties/height_2.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves the height of the &lt;EMBED&gt;.|
|null|,|hidden|,|/workshop/author/dhtml/reference/properties/Hidden.htm|,6,|null|,|/workshop/graphics/prop_rw.gif|,11,|Sets or retrieves whether the embedded &lt;EMBED&gt; is invisible.|
|ID|,|id|,|/workshop/author/dhtml/reference/properties/id.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,8,|Retrieves the string identifying the &lt;EMBED&gt;.|
|null|,|isTextEdit|,|/workshop/author/dhtml/reference/properties/isTextEdit.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,11,|Retrieves whether a <A HREF="/workshop/author/dhtml/reference/objects/obj_TextRange.htm">TextRange</A> &lt;EMBED&gt; can be created using the given object.|
|LANG|,|lang|,|/workshop/author/dhtml/reference/properties/lang.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves the language to use.|
|LANGUAGE|,|language|,|/workshop/author/dhtml/reference/properties/language.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves the language in which the current script is written.|
